"Tabla 18. Estructura empresarial Medellín, según comunas y actividad económica (Total empresas)",,,,,,Volver al índice,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
CIIU,Descripción,ALTAVISTA,ARANJUEZ,BELEN,BUENOS AIRES,CASTILLA,DOCE DE OCTUBRE,EL POBLADO,GUAYABAL,LA AMERICA,LA CANDELARIA,LAURELES,MANRIQUE,PALMITAS,POPULAR,ROBLEDO,SAN ANTONIO DE PRADO,SAN CRISTOBAL,SAN JAVIER,SANTA CRUZ,SANTA ELENA,VILLA HERMOSA,Sin georreferenciar,Total
3092,Fabricación de bicicletas y de sillas de ruedas para personas con discapacidad,,,2,,2,,3,1,1,3,2,,,,,,,,,,1,0,15
3099,Fabricación de otros tipos de equipo de transporte n.c.p.,,,1,,,,,1,,,,,,,,,,,,,,0,2
3110,Fabricación de muebles,8,43,63,19,14,10,37,63,29,119,40,11,,6,17,9,12,14,4,2,13,1,534
3120,Fabricación de colchones y somieres,,9,5,,6,4,,1,3,12,27,2,,1,3,,,4,1,,1,0,79
3210,"Fabricación de joyas, bisutería y artículos conexos",1,8,18,8,6,3,41,8,8,129,25,1,,,5,5,1,5,4,6,6,0,288
3220,Fabricación de instrumentos musicales,1,,1,1,,1,,1,,2,,,,,,,,,,,,0,7
3230,Fabricación de artículos y equipo para la práctica del deporte,2,,5,1,,1,6,1,1,6,1,2,,,,,,,,1,1,0,28
3240,"Fabricación de juegos, juguetes y rompecabezas",,1,4,3,,4,3,,2,3,5,2,,,,,,1,,1,,0,29
3250,"Fabricación de instrumentos, aparatos y materiales médicos y odontológicos (incluido mobiliario)",1,2,40,9,5,1,19,7,5,55,33,4,,2,5,3,5,2,2,,7,0,207
3290,Otras industrias manufactureras n.c.p.,,11,18,7,7,14,27,35,15,60,15,7,,2,8,6,4,3,1,3,5,0,248
3311,Mantenimiento y reparación especializado de productos elaborados en metal,1,8,13,4,6,2,5,12,6,31,10,3,,3,1,3,3,6,,,1,0,118
3312,Mantenimiento y reparación especializado de maquinaria y equipo,7,20,48,23,33,21,31,68,22,124,54,10,1,3,31,23,4,18,4,3,17,2,567
3313,Mantenimiento y reparación especializado de equipo electrónico y óptico,,1,11,2,3,1,5,5,9,16,13,1,,,4,,1,2,,1,1,0,76
3314,Mantenimiento y reparación especializado de equipo eléctrico,1,5,10,6,4,9,7,9,5,21,11,2,,1,4,,3,2,4,,6,1,111
3315,"Mantenimiento y reparación especializado de equipo de transporte, excepto los vehículos automotores, motocicletas y bicicletas",,2,4,,2,,5,4,1,4,1,,,,,,,1,,4,1,0,29
3319,Mantenimiento y reparación de otros tipos de equipos y sus componentes n.c.p.,,3,11,1,3,3,3,7,2,17,2,2,,1,5,1,3,2,1,,2,0,69
3320,Instalación especializada de maquinaria y equipo industrial,,1,7,2,2,2,9,9,3,7,4,2,,,4,2,,1,,2,,1,58
3511,Generación de energía eléctrica,1,2,7,3,3,2,136,3,1,4,15,1,,,1,,,1,,3,4,1,188
3512,Transmisión de energía eléctrica,,,1,,,,3,4,,1,1,,,,,,,,,,1,0,11
3513,Distribución de energía eléctrica,,,,,,1,2,,,,,,,,1,,,,,,,0,4
3514,Comercialización de energía eléctrica,,,1,1,,,22,,1,,2,,,,,,,1,,,,0,28
3520,"Producción de gas, distribución de combustibles gaseosos por tuberías",,2,1,,,,1,,3,,,,,,,,,,1,,1,0,9
3530,Suministro de vapor y aire acondicionado,,,,,,1,,,,1,,,,,2,1,,1,,,,0,6
3600,"Captación, tratamiento y distribución de agua",,,2,1,4,1,5,2,3,1,10,,,,1,,,,,1,1,1,33
3700,Evacuación y tratamiento de aguas residuales,,,4,,,1,2,3,2,1,4,,,,1,1,,,,,,0,19
3811,Recolección de desechos no peligrosos,1,5,3,1,,1,4,8,1,11,2,1,,1,1,,,3,2,1,,0,46
