"Tabla 18. Estructura empresarial Medellín, según comunas y actividad económica (Total empresas)",,,,,,Volver al índice,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
CIIU,Descripción,ALTAVISTA,ARANJUEZ,BELEN,BUENOS AIRES,CASTILLA,DOCE DE OCTUBRE,EL POBLADO,GUAYABAL,LA AMERICA,LA CANDELARIA,LAURELES,MANRIQUE,PALMITAS,POPULAR,ROBLEDO,SAN ANTONIO DE PRADO,SAN CRISTOBAL,SAN JAVIER,SANTA CRUZ,SANTA ELENA,VILLA HERMOSA,Sin Georreferenciar,Total
2651,"Fabricación de equipo de medición, prueba, navegación y control",,,1,1,,,1,2,1,5,1,,,,,,1,1,,,,,14
2652,Fabricación de relojes,,1,,,,,2,,,1,,,,,,,,,,,,,4
2660,Fabricación de equipo de irradiación y equipo electrónico de uso médico y terapéutico,,,2,,,1,2,,,1,2,,,,1,,,,,,,,9
2670,Fabricación de instrumentos ópticos y equipo fotográfico,,,2,,,,,,1,13,,,,,1,,1,,,,,,18
2711,"Fabricación de motores, generadores y transformadores eléctricos",,,1,1,1,,,1,,4,1,,,1,,,,,,,,,10
2712,Fabricación de aparatos de distribución y control de la energía eléctrica,,2,,,2,,1,5,2,,2,,,,1,,,,,,,,15
2720,"Fabricación de pilas, baterías y acumuladores eléctricos",,,,,,,,,,,,,,,,,,,,,1,,1
2731,Fabricación de hilos y cables eléctricos y de fibra óptica,,,1,,,,,1,,,,,,,,,,,,,,,2
2732,Fabricación de dispositivos de cableado,,,,,,,1,1,,1,,,,,,,,,,,,,3
2740,Fabricación de equipos eléctricos de iluminación,,,2,2,,1,4,6,1,3,1,,,1,1,,,,,,,,22
2750,Fabricación de aparatos de uso doméstico,1,1,4,,1,1,4,2,,6,,,,,2,,,,,,,,22
2790,Fabricación de otros tipos de equipo eléctrico n.c.p.,1,2,2,1,,1,3,5,2,5,4,2,,,2,,,,,,,,30
2811,"Fabricación de motores, turbinas, y partes para motores de combustión interna",,,,,,,,,,2,,,,,1,,,1,,,,,4
2812,Fabricación de equipos de potencia hidráulica y neumática,,,,1,1,,,4,,2,,,,,1,,,,,,,,9
2813,"Fabricación de otras bombas, compresores, grifos y válvulas",,,1,,1,,,,,1,,,,,,,1,,,,,,4
2814,"Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión",,,,,2,,,1,,,,,,1,,,,,,,,,4
2815,"Fabricación de hornos, hogares y quemadores industriales",,,1,1,,1,,5,,4,1,,,,,1,,2,,,,,16
