"Tabla 18. Estructura empresarial Medellín, según comunas y actividad económica (Total empresas)",,,,,,Volver al índice,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
CIIU,Descripción CIIU,EL POBLADO,LA CANDELARIA,LAURELES,BELEN,GUAYABAL,LA AMERICA,BUENOS AIRES,ARANJUEZ,ROBLEDO,CASTILLA,SAN JAVIER,DOCE DE OCTUBRE,SAN ANTONIO DE PRADO,VILLA HERMOSA,MANRIQUE,SAN CRISTOBAL,SANTA CRUZ,POPULAR,ALTAVISTA,SANTA ELENA,PALMITAS,Sin Georreferenciar,Total
3211,Fabricación de joyas y artículos conexos,28,110,20,13,5,9,10,3,6,5,3,4,3,3,3,2,1,1,2,4,,1,236
3212,Fabricación de bisutería y artículos conexos,15,50,13,8,3,3,3,2,1,4,6,1,,3,1,2,,,3,1,,,119
3220,Fabricación de instrumentos musicales,1,3,,2,1,,1,,,,,1,,,,1,,,,,,,10
3230,Fabricación de artículos y equipo para la práctica del deporte,6,3,2,4,,1,1,,2,,1,1,,1,1,,,,3,,,,26
3240,"Fabricación de juegos, juguetes y rompecabezas",4,2,4,6,,3,3,2,1,2,1,3,,,2,,1,1,,,,,35
3250,"Fabricación de instrumentos, aparatos y materiales médicos y odontológicos (incluido mobiliario)",26,58,33,35,7,7,8,6,1,2,5,2,4,5,4,2,2,1,,1,,1,210
3290,Otras industrias manufactureras n.c.p.,27,54,14,17,38,12,9,13,6,6,4,12,3,7,8,9,1,2,,2,,2,246
3311,Mantenimiento y reparación especializado de productos elaborados en metal,7,37,10,13,16,6,2,6,6,4,7,1,3,2,7,3,1,2,,,,,133
3312,Mantenimiento y reparación especializado de maquinaria y equipo,38,118,50,64,76,23,19,21,32,30,16,21,21,9,15,11,7,6,4,6,1,5,593
3313,Mantenimiento y reparación especializado de equipo electrónico y óptico,6,15,13,13,9,9,3,2,3,5,4,1,,,,1,,,,1,,,85
3314,Mantenimiento y reparación especializado de equipo eléctrico,5,22,11,8,14,6,8,5,4,4,1,5,,3,4,3,3,2,3,,,,111
3315,"Mantenimiento y reparación especializado de equipo de transporte, excepto los vehículos automotores, motocicletas y bicicletas",8,4,2,2,4,1,,1,2,1,1,,,,,1,,,,2,,,29
3319,Mantenimiento y reparación de otros tipos de equipos y sus componentes n.c.p.,3,13,3,14,8,6,4,2,8,3,1,1,,4,2,,,1,,,,1,74
3320,Instalación especializada de maquinaria y equipo industrial,8,6,5,7,6,2,2,1,2,4,3,2,4,,2,1,3,2,,,,1,61
3511,Generación de energía eléctrica,162,13,15,6,1,16,,1,3,2,1,3,1,1,,,,,2,3,,1,231
3512,Transmisión de energía eléctrica,5,3,,4,3,,,,,,,,,1,,,,,,,,,16
3513,Distribución de energía eléctrica,3,,,,1,1,,,,,,,,,,,,,,,,,5
3514,Comercialización de energía eléctrica,29,1,3,2,3,,,,,,,,,,,,,,,1,,,39
3520,Producción de gas; distribución de combustibles gaseosos por tuberías,1,,,1,,,,1,,1,,,,1,,1,,,,,,,6
3530,Suministro de vapor y aire acondicionado,,1,,,1,,,,1,,1,1,1,2,,,1,,,,,,9
3600,"Captación, tratamiento y distribución de agua",6,2,8,3,2,2,,,2,4,,1,1,1,,,1,1,,,,1,35
3700,Evacuación y tratamiento de aguas residuales,2,3,5,3,2,2,,2,1,,,1,2,,1,,,,,,,,24
3811,Recolección de desechos no peligrosos,5,8,3,,8,1,2,5,,,3,3,,1,1,2,1,1,,1,,1,46
3812,Recolección de desechos peligrosos,,1,1,,,,,1,,,,,,,,,,,,,,,3
3821,Tratamiento y disposición de desechos no peligrosos,4,3,2,2,2,,,,,1,1,,3,,,,,1,1,,,,20
3822,Tratamiento y disposición de desechos peligrosos,,1,2,,1,,,,,,,,,,,,,,,,,,4
3830,Recuperación de materiales,5,54,8,11,19,4,8,34,6,11,4,10,5,5,7,1,13,8,2,,,2,217
3900,Actividades de saneamiento ambiental y otros servicios de gestión de desechos,4,3,5,4,1,2,3,,1,2,,1,,1,,1,1,,1,,,,30
4111,Construcción de edificios residenciales,450,165,175,167,42,91,76,59,79,54,59,38,34,77,58,64,33,35,39,27,2,19,1843
4112,Construcción de edificios no residenciales,93,29,34,22,11,13,4,5,7,5,7,11,3,10,5,9,3,5,4,2,,5,287
4210,Construcción de carreteras y vías de ferrocarril,36,18,6,9,4,7,,1,2,3,2,1,1,3,1,,1,4,,1,,1,101
4220,Construcción de proyectos de servicio público,15,8,13,10,4,10,5,3,4,2,3,2,1,2,,3,1,,2,1,,,89
